filepath,filename,label,screen_source,screen_type,image_width,image_height,focal_length_35mm_eq,f_number,exposure_time,shutter_speed_value,iso,metering_mode,device_model,device_make,lens_model,datetime_original,orientation,flash
data/authentic/CRW_2783.jpeg,CRW_2783.jpeg,authentic,none,none,2304,3072,60,10.0,0.001176470588235294,9.731319000581058,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 03:34:41,1,16
data/authentic/CRW_2796.jpeg,CRW_2796.jpeg,authentic,none,none,3072,2304,51,9.2,0.0032258064516129032,8.276123999178813,75,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 05:03:17,1,16
data/authentic/CRW_2805.jpeg,CRW_2805.jpeg,authentic,none,none,2304,3072,73,11.0,0.001176470588235294,9.731319000581058,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 06:55:09,1,16
data/authentic/CRW_2817.jpeg,CRW_2817.jpeg,authentic,none,none,3024,2268,105,14.0,0.00125,9.643855995239512,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 07:05:42,1,16
data/authentic/CRW_2844.jpeg,CRW_2844.jpeg,authentic,none,none,2999,2249,35,7.8,0.002,8.965783992859269,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 08:07:08,1,16
data/authentic/CRW_2847.jpeg,CRW_2847.jpeg,authentic,none,none,2237,2983,35,7.8,0.00125,9.643855995239512,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 08:42:27,1,16
data/authentic/CRW_2859.jpeg,CRW_2859.jpeg,authentic,none,none,2304,3072,51,3.3,0.005,7.643855995239512,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:23 10:00:56,1,16
data/authentic/CRW_2873.jpeg,CRW_2873.jpeg,authentic,none,none,2304,3072,105,14.0,0.0007142857142857143,10.451210992081975,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 05:13:28,1,16
data/authentic/CRW_2880.jpeg,CRW_2880.jpeg,authentic,none,none,2304,3072,105,14.0,0.002857142857142857,8.451210992081975,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 05:18:24,1,16
data/authentic/CRW_2909.jpeg,CRW_2909.jpeg,authentic,none,none,3072,2304,35,2.8,0.0125,6.321927997619756,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 06:07:13,1,16
data/authentic/CRW_2913.jpeg,CRW_2913.jpeg,authentic,none,none,2304,3072,35,2.8,0.011111111111111112,6.491853007453631,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 06:07:46,1,16
data/authentic/CRW_2933.jpeg,CRW_2933.jpeg,authentic,none,none,2304,3072,73,4.1,0.01818181818181818,5.78136,800,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 06:14:52,1,16
